date_utc,rollup_id,batch_submissions_eth,proof_submissions_eth,state_updates_eth,execution_base_fee_burn_eth,execution_priority_fee_eth,blob_fee_burn_eth,rent_paid_eth
2022-01-01,arbitrum,14.032524620441973532,0,0,13.834376693304695968,0.198147927137277564,0,14.032524620441973532
2022-01-01,optimism,8.077391911,0,3.265484598,10.324479081684582396,1.018397427315417604,0,11.342876509
2022-01-02,arbitrum,17.737899675421163289,0,0,17.523780562885136077,0.214119112536027212,0,17.737899675421163289
2022-01-02,optimism,8.468395311,0,3.112361845,10.654610029231669004,0.926147126768330996,0,11.580757156
2022-01-03,arbitrum,20.480286632841610572,0,0,20.249941562824251007,0.230345070017359565,0,20.480286632841610572
2022-01-03,optimism,12.678714262,0,4.988500507,16.299647634552520234,1.367567134447479766,0,17.667214769
2022-01-04,arbitrum,29.284476035633540975,0,0,28.978560883980614996,0.305915151652925979,0,29.284476035633540975
2022-01-04,optimism,14.860326272,0,6.265164502,19.654350102721096254,1.471140671278903746,0,21.125490774
2022-01-05,arbitrum,34.524065944694897744,0,0,34.217163243448331674,0.30690270124656607,0,34.524065944694897744
2022-01-05,optimism,22.707886708,0,9.359321888,29.652750002914535936,2.414458593085464064,0,32.067208596
2022-01-06,arbitrum,29.966556591274698096,0,0,29.703857817749686486,0.26269877352501161,0,29.966556591274698096
2022-01-06,optimism,18.746961383,0,8.053258678,24.722693480769741881,2.077526580230258119,0,26.800220061
2022-01-07,arbitrum,34.488988820089907889,0,0,34.183713062694744928,0.305275757395162961,0,34.488988820089907889
2022-01-07,optimism,26.404437667,0,10.28361154,34.004798188268897164,2.683251018731102836,0,36.688049207
2022-01-08,arbitrum,24.9403191487892528,0,0,24.68280654653897987,0.25751260225027293,0,24.9403191487892528
2022-01-08,optimism,17.943763655,0,7.333094115,23.309609179610271876,1.967248590389728124,0,25.27685777
2022-01-09,arbitrum,13.628707269640983808,0,0,13.492780513935037081,0.135926755705946727,0,13.628707269640983808
2022-01-09,optimism,19.12517624,0,8.060316223,24.993764000096276328,2.191728462903723672,0,27.185492463
2022-01-10,arbitrum,44.485734109357701897,0,0,44.201263619837800664,0.284470489519901233,0,44.485734109357701897
2022-01-10,optimism,31.99308069,0,12.574692191,41.420644233070561157,3.147128647929438843,0,44.567772881
2022-01-11,arbitrum,27.244882797756152063,0,0,27.025675992313443226,0.219206805442708837,0,27.244882797756152063
2022-01-11,optimism,20.309270247,0,7.717449133,25.897312876613600034,2.129406503386399966,0,28.02671938
2022-01-12,arbitrum,25.428491636001733288,0,0,25.219881189757346126,0.208610446244387162,0,25.428491636001733288
2022-01-12,optimism,17.926688752,0,6.309901919,22.401418474125574065,1.835172196874425935,0,24.236590671
2022-01-13,arbitrum,25.393618478965031711,0,0,25.175086908799668632,0.218531570165363079,0,25.393618478965031711
2022-01-13,optimism,20.924471199,0,6.271918994,24.986641947320639835,2.209748245679360165,0,27.196390193
2022-01-14,arbitrum,28.108582100593291631,0,0,27.883275927595945382,0.225306172997346249,0,28.108582100593291631
2022-01-14,optimism,18.305810272,0,6.444773466,22.938736945621419793,1.811846792378580207,0,24.750583738
2022-01-15,arbitrum,22.956126573460338232,0,0,22.736101306015100815,0.220025267445237417,0,22.956126573460338232
2022-01-15,optimism,11.589043535,0,3.676451198,14.063282044549791082,1.202212688450208918,0,15.265494733
2022-01-16,arbitrum,24.375401620879543033,0,0,24.135035007910717212,0.240366612968825821,0,24.375401620879543033
2022-01-16,optimism,10.96500149,0,3.311463977,13.212669527594626088,1.063795939405373912,0,14.276465467
2022-01-17,arbitrum,27.509262135620825188,0,0,27.254657466259091877,0.254604669361733311,0,27.509262135620825188
2022-01-17,optimism,13.318966048,0,4.357685591,16.284254468188152476,1.392397170811847524,0,17.676651639
2022-01-18,arbitrum,23.287171478648767931,0,0,23.0508773584446661,0.236294120204101831,0,23.287171478648767931
2022-01-18,optimism,13.46168652,0,5.213535112,17.148856898660774247,1.526364733339225753,0,18.675221632
2022-01-19,arbitrum,21.347392627489095907,0,0,21.125507958971896341,0.221884668517199566,0,21.347392627489095907
2022-01-19,optimism,15.947523931,0,5.338471962,19.704386484697455358,1.581609408302544642,0,21.285995893
2022-01-20,arbitrum,28.978507596842297313,0,0,28.693715133414016708,0.284792463428280605,0,28.978507596842297313
2022-01-20,optimism,17.737818061,0,5.73727933,21.714500856683088375,1.760596534316911625,0,23.475097391
2022-01-21,arbitrum,49.760268833177290498,0,0,49.424923221943152162,0.335345611234138336,0,49.760268833177290498
2022-01-21,optimism,44.598306242,0,17.103780299,57.345173572409285136,4.356912968590714864,0,61.702086541
2022-01-22,arbitrum,54.138404846356949546,0,0,53.743843924829469511,0.394560921527480035,0,54.138404846356949546
2022-01-22,optimism,49.571246908,0,19.754238764,64.480703137928763463,4.844782534071236537,0,69.325485672
2022-01-23,arbitrum,22.580852146273901893,0,0,22.349920211326822897,0.230931934947078996,0,22.580852146273901893
2022-01-23,optimism,23.066384397,0,8.46363264,29.124073366872803912,2.405943670127196088,0,31.530017037
2022-01-24,arbitrum,50.833955911926815718,0,0,50.388927236907788631,0.445028675019027087,0,50.833955911926815718
2022-01-24,optimism,40.987736406,0,15.176777217,51.808593396720873715,4.355920226279126285,0,56.164513623
