regime_id,regime,start_date_utc,end_date_utc,days,mean_l2_fees_eth,mean_rent_paid_eth,mean_str_pct,median_str_pct,p90_str_pct,mean_blob_base_fee_gwei
full_sample,Full sample,2022-01-01,2026-04-08,1559,181.398615,84.885835,41.241000,44.586000,79.852000,2.250096
pre_dencun,Pre-Dencun,2022-01-01,2024-03-12,802,229.555774,147.014433,69.143000,69.355000,84.972000,
post_dencun,Post-Dencun,2024-03-13,2026-04-08,757,130.378745,19.063992,11.682000,6.552000,27.641000,2.250096
post_dencun_blob_floor,Blob fee floor,2024-03-13,2025-09-21,217,128.737031,18.740240,8.978000,3.928000,24.064000,0.000000
post_dencun_non_floor,Post-Dencun ex floor,2024-03-26,2026-04-08,540,131.038470,19.194092,12.768000,9.087000,28.613000,3.154302
