date_utc,l1_base_fee_burn_eth,l1_blob_fee_burn_eth,l1_priority_fee_eth,l1_total_rent_eth,l1_blob_gas_used,l1_calldata_gas_used,l1_blob_base_fee_gwei
2024-03-13,507.477700887915107136,0.00000000019202048,8.515076735739541031,515.992777623846668647,192020480,11574421485,0.000000001
2024-03-14,308.374944397637566274,0.000000001431175168,2.996392808297802224,311.371337207366543666,1431175168,27602708149,0.000000001
2024-03-15,193.385186453821703283,0.00000000091815936,3.203897272332002061,196.589083727071864704,918159360,18653883304,0.000000001
